# converted from https://das.sdss.org/www/html/imaging/dr-byRun-99.html
#
# images are linked from
#    https://das.sdss.org/www/cgi-bin/wholeseg?RUN={run}&RERUN={rerun}&CAMCOL={cam}&DR=99
#
# direct images are:
#    http://das.sdss.org/raw/{run}/{rerun}/corr/{cam}/fpC-{run:5i}-{band}{cam}-{field:4i}.fit.gz
#
stripe,strip,run,rerun,MJD,node,inclination,cam1,cam2,cam3,cam4,cam5,cam6
76,S,2566,0,52170,95,-15,1,2,3,4,5,6
76,S,2566,40,52170,95,-15,1,2,3,4,5,6
82,N,2570,40,52170,95,0,1,2,3,4,5,6
43,S,2574,40,52171,95,82.5,1,2,3,4,5,6
86,S,2576,0,52171,95,10,1,2,3,4,5,6
86,S,2576,40,52171,95,10,1,2,3,4,5,6
82,N,2578,40,52171,95,0,1,2,3,4,5,6
82,S,2579,40,52171,95,0,1,2,3,4,5,6
44,N,2582,40,52172,95,85,1,2,3,4,5,6
82,S,2583,0,52172,95,0,1,2,3,4,5,6
82,S,2583,40,52172,95,0,1,2,3,4,5,6
82,S,2585,40,52172,95,0,1,2,3,4,5,6
82,N,2589,40,52173,95,0,1,2,3,4,5,6
82,N,2649,40,52196,95,0,1,2,3,4,5,6
82,N,2650,40,52196,95,0,1,2,3,4,5,6
82,N,2659,0,52197,95,0,1,2,3,4,5,6
82,N,2659,40,52197,95,0,1,2,3,4,5,6
82,N,2662,0,52197,95,0,1,2,3,4,5,6
82,N,2662,40,52197,95,0,1,2,3,4,5,6
82,N,2677,40,52207,95,0,1,2,3,4,5,6
82,N,2700,40,52224,95,0,1,2,3,4,5,6
82,N,2708,40,52225,95,0,1,2,3,4,5,6
82,S,2709,40,52225,95,0,1,2,3,4,5,6
82,N,2728,40,52231,95,0,1,2,3,4,5,6
33,S,2735,0,52233,95,57.5,1,2,3,4,5,6
33,S,2735,40,52233,95,57.5,1,2,3,4,5,6
82,N,2738,20,52234,95,0,1,2,3,4,5,6
82,N,2738,40,52234,95,0,1,2,3,4,5,6
32,S,2740,0,52234,95,55,1,2,3,4,5,6
32,S,2740,40,52234,95,55,1,2,3,4,5,6
115,O,2766,40,52253,-9999,-9999,1,2,3,4,5,6
82,N,2768,40,52253,95,0,1,2,3,4,5,6
32,N,2777,0,52258,95,55,1,2,3,4,5,6
32,N,2777,40,52258,95,55,1,2,3,4,5,6
82,N,2820,40,52261,95,0,1,2,3,4,5,6
32,N,2821,0,52261,95,55,1,2,3,4,5,6
32,N,2821,40,52261,95,55,1,2,3,4,5,6
33,N,2822,0,52261,95,57.5,1,2,3,4,5,6
33,N,2822,40,52261,95,57.5,1,2,3,4,5,6
33,S,2825,0,52262,95,57.5,1,2,3,4,5,6
33,S,2825,40,52262,95,57.5,1,2,3,4,5,6
33,N,2826,0,52262,95,57.5,1,2,3,4,5,6
33,N,2826,20,52262,95,57.5,1,2,3,4,5,6
33,N,2826,40,52262,95,57.5,1,2,3,4,5,6
31,S,2830,0,52263,95,52.5,1,2,3,4,5,6
31,S,2830,41,52263,95,52.5,1,2,3,4,5,6
33,S,2831,0,52263,95,57.5,1,2,3,4,5,6
33,S,2831,40,52263,95,57.5,1,2,3,4,5,6
82,N,2855,40,52282,95,0,1,2,3,4,5,6
82,N,2856,40,52282,95,0,1,2,3,4,5,6
82,N,2861,40,52283,95,0,1,2,3,4,5,6
33,N,2863,0,52283,95,57.5,1,2,3,4,5,6
33,N,2863,40,52283,95,57.5,1,2,3,4,5,6
31,N,2864,0,52283,95,52.5,1,2,3,4,5,6
31,N,2864,40,52283,95,52.5,1,2,3,4,5,6
82,N,2873,40,52287,95,0,1,2,3,4,5,6
31,N,2882,40,52287,95,52.5,1,2,3,4,5,6
31,N,2883,0,52287,95,52.5,1,2,3,4,5,6
31,N,2883,40,52287,95,52.5,1,2,3,4,5,6
82,S,2886,40,52288,95,0,1,2,3,4,5,6
30,S,2887,0,52288,95,50,1,2,3,4,5,6
30,S,2887,40,52288,95,50,1,2,3,4,5,6
30,N,2888,0,52288,95,50,1,2,3,4,5,6
30,N,2888,40,52288,95,50,1,2,3,4,5,6
82,S,2960,40,52313,95,0,1,2,3,4,5,6
30,S,2961,0,52313,95,50,1,2,3,4,5,6
30,S,2961,40,52313,95,50,1,2,3,4,5,6
30,N,2964,0,52313,95,50,1,2,3,4,5,6
30,N,2964,20,52313,95,50,1,2,3,4,5,6
30,N,2964,40,52313,95,50,1,2,3,4,5,6
82,N,2968,40,52314,95,0,1,2,3,4,5,6
13,S,2986,0,52318,95,7.5,1,2,3,4,5,6
13,S,2986,40,52318,95,7.5,1,2,3,4,5,6
34,N,2987,0,52318,95,60,1,2,3,4,5,6
34,N,2987,40,52318,95,60,1,2,3,4,5,6
34,N,2989,0,52318,95,60,1,2,3,4,5,6
34,N,2989,40,52318,95,60,1,2,3,4,5,6
13,N,3015,0,52338,95,7.5,1,2,3,4,5,6
13,N,3015,40,52338,95,7.5,1,2,3,4,5,6
14,S,3031,20,52345,95,10,1,2,3,4,5,6
14,S,3031,40,52345,95,10,1,2,3,4,5,6
30,S,3059,0,52354,95,50,1,2,3,4,5,6
30,S,3059,42,52354,95,50,1,2,3,4,5,6
32,S,3103,0,52365,95,55,1,2,3,4,5,6
32,S,3103,40,52365,95,55,1,2,3,4,5,6
32,N,3130,0,52379,95,55,1,2,3,4,5,6
32,N,3130,40,52379,95,55,1,2,3,4,5,6
32,S,3177,0,52402,95,55,1,2,3,4,5,6
32,S,3177,40,52402,95,55,1,2,3,4,5,6
32,N,3180,0,52402,95,55,1,2,3,4,5,6
32,N,3180,40,52402,95,55,1,2,3,4,5,6
34,S,3183,20,52403,95,60,1,2,3,4,5,6
34,S,3183,40,52403,95,60,1,2,3,4,5,6
34,S,3184,20,52403,95,60,1,2,3,4,5,6
34,S,3184,40,52403,95,60,1,2,3,4,5,6
32,N,3185,0,52403,95,55,1,2,3,4,5,6
32,N,3185,40,52403,95,55,1,2,3,4,5,6
33,S,3187,20,52403,95,57.5,1,2,3,4,5,6
33,S,3187,40,52403,95,57.5,1,2,3,4,5,6
34,N,3225,20,52434,95,60,1,2,3,4,5,6
34,N,3225,40,52434,95,60,1,2,3,4,5,6
34,S,3226,20,52434,95,60,1,2,3,4,5,6
34,S,3226,40,52434,95,60,1,2,3,4,5,6
13,N,3230,40,52435,95,7.5,1,2,3,4,5,6
82,O,3322,40,52522,95,0,1,2,3,4,5,6
82,S,3325,20,52522,95,0,1,2,3,4,5,6
82,S,3325,41,52522,95,0,1,2,3,4,5,6
82,S,3355,40,52551,95,0,1,2,3,4,5,6
100,O,3356,40,52551,342.8311,62.0336,1,2,3,4,5,6
43,N,3358,40,52552,95,82.5,1,2,3,4,5,6
82,S,3360,41,52552,95,0,1,2,3,4,5,6
82,N,3362,40,52552,95,0,1,2,3,4,5,6
100,O,3366,20,52553,342.87,62,1,2,3,4,5,6
