\                                                                               
\fixlen = T
\RowsRetrieved =               426
\ 
\ koaid 
\ ___ Unique identifier for each file
\ ofname 
\ ___ Original filename at the telescope, copied from DATAFILE keyword
\ targname 
\ ___ target-name
\ koaimtyp 
\ ___ KOA image type
\ frameno 
\ ___ frame-number
\ ra (deg) 
\ ___ Right Ascension (J2000)
\ dec (deg) 
\ ___ Declination (J20000)
\ date_obs 
\ ___ universal date of observation
\ ut 
\ ___ coordinated universal time
\ elaptime 
\ ___ elapsed-time
\ equinox 
\ ___ telescope-equinox
\ progid 
\ ___ WMKO program ID
\ proginst 
\ ___ Program institution
\ progpi 
\ ___ Program principal investigator
\ progtitl 
\ ___ Title of observing program
\ filehand 
\ ___ Path to the file in the archive
\ semid 
\ ___ SEMESTER and PROGID
\ propint 
\ ___ Proprietary Period Interval
\ 
|                             koaid|                           ofname| instrument|                                                              targname|                                                              koaimtyp|          frameno|                 ra|                dec|                       date_obs|                         ut|           elaptime|            equinox|                                                                progid|  proginst|                                                                progpi|                                                                                                                                                                                                           progtitl|                                                                                                                                                filehand|                 semid|          propint| prop|
|                              char|                             char|       char|                                                                  char|                                                                  char|             long|             double|             double|                           char|                       char|             double|             double|                                                                  char|      char|                                                                  char|                                                                                                                                                                                                               char|                                                                                                                                                    char|                  char|             long| char|
|                                  |                                 |           |                                                                      |                                                                      |                 |                deg|                deg|                               |                           |                   |                   |                                                                      |          |                                                                      |                                                                                                                                                                                                                   |                                                                                                                                                        |                      |                 |     |
|                              null|                             null|       null|                                                                  null|                                                                  null|             null|               null|               null|                           null|                       null|               null|               null|                                                                  null|      null|                                                                  null|                                                                                                                                                                                                               null|                                                                                                                                                    null|                  null|             null| null|
             N1.20090531.35832.fits                       s00257.fits        NIRC                                                         GRB060814A_ctr                                                                 object               257           221.33813            20.58178                      2009-05-31                 09:57:12.20            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.35832.fits            2009a_u105n                18     f 
             N1.20090531.35906.fits                       s00258.fits        NIRC                                                         GRB060814A_ctr                                                                 object               258           221.33766            20.58485                      2009-05-31                 09:58:26.95            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.35906.fits            2009a_u105n                18     f 
             N1.20090531.35982.fits                       s00259.fits        NIRC                                                         GRB060814A_ctr                                                                 object               259           221.33672            20.58222                      2009-05-31                 09:59:42.55            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.35982.fits            2009a_u105n                18     f 
             N1.20090531.36057.fits                       s00260.fits        NIRC                                                         GRB060814A_ctr                                                                 object               260           221.33578            20.58397                      2009-05-31                 10:00:57.40            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36057.fits            2009a_u105n                18     f 
             N1.20090531.36133.fits                       s00261.fits        NIRC                                                         GRB060814A_ctr                                                                 object               261           221.33860            20.58310                      2009-05-31                 10:02:13.40            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36133.fits            2009a_u105n                18     f 
             N1.20090531.36246.fits                       s00262.fits        NIRC                                                         GRB060814A_ctr                                                                 object               262           221.33756            20.58371                      2009-05-31                 10:04:06.00            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36246.fits            2009a_u105n                18     f 
             N1.20090531.36322.fits                       s00263.fits        NIRC                                                         GRB060814A_ctr                                                                 object               263           221.33662            20.58547                      2009-05-31                 10:05:22.70            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36322.fits            2009a_u105n                18     f 
             N1.20090531.36396.fits                       s00264.fits        NIRC                                                         GRB060814A_ctr                                                                 object               264           221.33944            20.58459                      2009-05-31                 10:06:36.80            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36396.fits            2009a_u105n                18     f 
             N1.20090531.36471.fits                       s00265.fits        NIRC                                                         GRB060814A_ctr                                                                 object               265           221.33569            20.58283                      2009-05-31                 10:07:51.55            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36471.fits            2009a_u105n                18     f 
             N1.20090531.36549.fits                       s00266.fits        NIRC                                                         GRB060814A_ctr                                                                 object               266           221.33850            20.58196                      2009-05-31                 10:09:09.80            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36549.fits            2009a_u105n                18     f 
             N1.20090531.36628.fits                       s00267.fits        NIRC                                                         GRB060814A_ctr                                                                 object               267           221.33803            20.58503                      2009-05-31                 10:10:28.35            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36628.fits            2009a_u105n                18     f 
             N1.20090531.36703.fits                       s00268.fits        NIRC                                                         GRB060814A_ctr                                                                 object               268           221.33710            20.58239                      2009-05-31                 10:11:43.20            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36703.fits            2009a_u105n                18     f 
             N1.20090531.36778.fits                       s00269.fits        NIRC                                                         GRB060814A_ctr                                                                 object               269           221.33616            20.58415                      2009-05-31                 10:12:58.85            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36778.fits            2009a_u105n                18     f 
             N1.20090531.36853.fits                       s00270.fits        NIRC                                                         GRB060814A_ctr                                                                 object               270           221.33897            20.58327                      2009-05-31                 10:14:13.05            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.36853.fits            2009a_u105n                18     f 
             N1.20090531.37082.fits                       s00271.fits        NIRC                                                          GRB090426_ctr                                                                 object               271           189.07635            32.98503                      2009-05-31                 10:18:02.45            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37082.fits            2009a_u105n                18     f 
             N1.20090531.37156.fits                       s00272.fits        NIRC                                                          GRB090426_ctr                                                                 object               272           189.07900            32.98726                      2009-05-31                 10:19:16.80            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37156.fits            2009a_u105n                18     f 
             N1.20090531.37289.fits                       s00273.fits        NIRC                                                          GRB090426_ctr                                                                 object               273           189.07630            32.98562                      2009-05-31                 10:21:29.86            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37289.fits            2009a_u105n                18     f 
             N1.20090531.37364.fits                       s00274.fits        NIRC                                                          GRB090426_ctr                                                                 object               274           189.07396            32.98550                      2009-05-31                 10:22:44.86            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37364.fits            2009a_u105n                18     f 
             N1.20090531.37442.fits                       s00275.fits        NIRC                                                          GRB090426_ctr                                                                 object               275           189.07615            32.98758                      2009-05-31                 10:24:02.16            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37442.fits            2009a_u105n                18     f 
             N1.20090531.37521.fits                       s00276.fits        NIRC                                                          GRB090426_ctr                                                                 object               276           189.07645            32.98366                      2009-05-31                 10:25:21.81            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37521.fits            2009a_u105n                18     f 
             N1.20090531.37598.fits                       s00277.fits        NIRC                                                          GRB090426_ctr                                                                 object               277           189.07864            32.98575                      2009-05-31                 10:26:38.11            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37598.fits            2009a_u105n                18     f 
             N1.20090531.37674.fits                       s00278.fits        NIRC                                                          GRB090426_ctr                                                                 object               278           189.07506            32.98654                      2009-05-31                 10:27:54.66            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37674.fits            2009a_u105n                18     f 
             N1.20090531.37750.fits                       s00279.fits        NIRC                                                          GRB090426_ctr                                                                 object               279           189.07754            32.98470                      2009-05-31                 10:29:10.61            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37750.fits            2009a_u105n                18     f 
             N1.20090531.37827.fits                       s00280.fits        NIRC                                                          GRB090426_ctr                                                                 object               280           189.07521            32.98458                      2009-05-31                 10:30:27.31            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37827.fits            2009a_u105n                18     f 
             N1.20090531.37901.fits                       s00281.fits        NIRC                                                          GRB090426_ctr                                                                 object               281           189.07740            32.98666                      2009-05-31                 10:31:41.91            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.37901.fits            2009a_u105n                18     f 
             N1.20090531.38008.fits                       s00282.fits        NIRC                                                          GRB090426_ctr                                                                 object               282           189.07692            32.98516                      2009-05-31                 10:33:28.96            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38008.fits            2009a_u105n                18     f 
             N1.20090531.38084.fits                       s00283.fits        NIRC                                                          GRB090426_ctr                                                                 object               283           189.07459            32.98504                      2009-05-31                 10:34:44.51            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38084.fits            2009a_u105n                18     f 
             N1.20090531.38159.fits                       s00284.fits        NIRC                                                          GRB090426_ctr                                                                 object               284           189.07677            32.98712                      2009-05-31                 10:35:59.66            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38159.fits            2009a_u105n                18     f 
             N1.20090531.38235.fits                       s00285.fits        NIRC                                                          GRB090426_ctr                                                                 object               285           189.07707            32.98320                      2009-05-31                 10:37:15.91            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38235.fits            2009a_u105n                18     f 
             N1.20090531.38310.fits                       s00286.fits        NIRC                                                          GRB090426_ctr                                                                 object               286           189.07926            32.98529                      2009-05-31                 10:38:30.11            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38310.fits            2009a_u105n                18     f 
             N1.20090531.38385.fits                       s00287.fits        NIRC                                                          GRB090426_ctr                                                                 object               287           189.07568            32.98608                      2009-05-31                 10:39:45.26            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38385.fits            2009a_u105n                18     f 
             N1.20090531.38461.fits                       s00288.fits        NIRC                                                          GRB090426_ctr                                                                 object               288           189.07817            32.98425                      2009-05-31                 10:41:01.26            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38461.fits            2009a_u105n                18     f 
             N1.20090531.38536.fits                       s00289.fits        NIRC                                                          GRB090426_ctr                                                                 object               289           189.07583            32.98412                      2009-05-31                 10:42:16.26            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38536.fits            2009a_u105n                18     f 
             N1.20090531.38611.fits                       s00290.fits        NIRC                                                          GRB090426_ctr                                                                 object               290           189.07802            32.98621                      2009-05-31                 10:43:31.21            60.00000          2000.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38611.fits            2009a_u105n                18     f 
             N1.20090531.38792.fits                       s00291.fits        NIRC                                                            FS33/GD 153                                                                 object               291           194.25977            22.03218                      2009-05-31                 10:46:32.66             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38792.fits            2009a_u105n                18     f 
             N1.20090531.38813.fits                       s00292.fits        NIRC                                                            FS33/GD 153                                                                 object               292           194.26216            22.03441                      2009-05-31                 10:46:53.46             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38813.fits            2009a_u105n                18     f 
             N1.20090531.38864.fits                       s00293.fits        NIRC                                                            FS33/GD 153                                                                 object               293           194.25977            22.03218                      2009-05-31                 10:47:44.71             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38864.fits            2009a_u105n                18     f 
             N1.20090531.38885.fits                       s00294.fits        NIRC                                                            FS33/GD 153                                                                 object               294           194.25681            22.03201                      2009-05-31                 10:48:05.26             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38885.fits            2009a_u105n                18     f 
             N1.20090531.38906.fits                       s00295.fits        NIRC                                                            FS33/GD 153                                                                 object               295           194.25996            22.02944                      2009-05-31                 10:48:26.16             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38906.fits            2009a_u105n                18     f 
             N1.20090531.38927.fits                       s00296.fits        NIRC                                                            FS33/GD 153                                                                 object               296           194.26274            22.03236                      2009-05-31                 10:48:47.26             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38927.fits            2009a_u105n                18     f 
             N1.20090531.38948.fits                       s00297.fits        NIRC                                                            FS33/GD 153                                                                 object               297           194.25958            22.03493                      2009-05-31                 10:49:08.06             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38948.fits            2009a_u105n                18     f 
             N1.20090531.38992.fits                       s00298.fits        NIRC                                                            FS33/GD 153                                                                 object               298           194.25977            22.03218                      2009-05-31                 10:49:52.66             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.38992.fits            2009a_u105n                18     f 
             N1.20090531.39016.fits                       s00299.fits        NIRC                                                            FS33/GD 153                                                                 object               299           194.25681            22.03201                      2009-05-31                 10:50:16.56             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.39016.fits            2009a_u105n                18     f 
             N1.20090531.39039.fits                       s00300.fits        NIRC                                                            FS33/GD 153                                                                 object               300           194.25996            22.02944                      2009-05-31                 10:50:39.36             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.39039.fits            2009a_u105n                18     f 
             N1.20090531.39059.fits                       s00301.fits        NIRC                                                            FS33/GD 153                                                                 object               301           194.26274            22.03236                      2009-05-31                 10:50:59.66             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.39059.fits            2009a_u105n                18     f 
             N1.20090531.39080.fits                       s00302.fits        NIRC                                                            FS33/GD 153                                                                 object               302           194.25958            22.03493                      2009-05-31                 10:51:20.66             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.39080.fits            2009a_u105n                18     f 
             N1.20090531.39125.fits                       s00303.fits        NIRC                                                            FS33/GD 153                                                                 object               303           194.25977            22.03218                      2009-05-31                 10:52:05.41             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.39125.fits            2009a_u105n                18     f 
             N1.20090531.39145.fits                       s00304.fits        NIRC                                                            FS33/GD 153                                                                 object               304           194.25681            22.03201                      2009-05-31                 10:52:25.46             6.00000          1950.00000                                                                  U105N        UCB                                                                  Bloom                                                                                                                                                                          A Study of GRB Diversity and Host Galaxies                                                                                                     /koadata31/NIRC/20090531/lev0/N1.20090531.39145.fits            2009a_u105n                18     f 
